[14:46:12] [INFO] received Windows console close event; shutting log-core down
[14:54:10] [INFO] received Windows console close event; shutting log-core down
[14:57:28] [INFO] received Windows console close event; shutting log-core down
[15:01:10] [INFO] received Windows console close event; shutting log-core down
[15:03:35] [INFO] received Windows console close event; shutting log-core down
[21:39:47] [INFO] received Windows console close event; shutting log-core down
[21:42:59] [INFO] received Windows console close event; shutting log-core down
[21:49:33] [INFO] received Windows console close event; shutting log-core down
[21:52:59] [INFO] received Windows console close event; shutting log-core down
[21:57:19] [INFO] received Windows console close event; shutting log-core down
[22:06:52] [INFO] received Windows console close event; shutting log-core down
[22:10:11] [INFO] received Windows console close event; shutting log-core down
[22:17:57] [INFO] received Windows console close event; shutting log-core down
[22:23:16] [INFO] received Windows console close event; shutting log-core down
[22:26:51] [INFO] received Windows console close event; shutting log-core down
[22:32:33] [INFO] received Windows console close event; shutting log-core down
[22:35:59] [INFO] received Windows console close event; shutting log-core down
[22:37:40] [INFO] received Windows console close event; shutting log-core down
[22:42:10] [INFO] received Windows console close event; shutting log-core down
[23:00:45] [INFO] received Windows console close event; shutting log-core down
